FY,Profit,FormattedProfit,Color,Source: audited financial statements
2020,"163,399,000","$163,399,000",#6d1727,
2019,"101,186,000","$101,186,000",#782832,
2018,"125,140,000","$125,140,000",#73202d,
2017,"99,449,000","$99,449,000",#7e3038,
2016,"71,842,000","$71,842,000",#883e44,
2015,"33,793,000","$33,793,000",#934d51,
2014,"14,525,000","$14,525,000",#9e5b5e,https://finance.temple.edu/sites/finance/files/FY2014Financial Statement.pdf
2013,"1,383,000","$1,383,000",#a36364,https://finance.temple.edu/sites/finance/files/FY2013 Financial Statement.pdf
2012,"33,120,000","$33,120,000",#985457,https://finance.temple.edu/sites/finance/files/FY2012 Financial Statement.pdf
2011,"79,650,000","$79,650,000",#83373e,https://finance.temple.edu/sites/finance/files/FY2011 Financial Statement.pdf
2010,"47,556,000","$47,556,000",#8e464a,https://finance.temple.edu/sites/finance/files/FY2010 Financial Statement.pdf
2009,"-22,943,000","-$22,943,000",#a86a6b,https://finance.temple.edu/sites/finance/files/FY2010 Financial Statement.pdf