Date,Active_Cases,Total_Tests,Estimated_Recovered_Cases,Temple_Positivity_Rate,Philadelphia_Positivity_Rate,Cases_Students_University_Housing,Cases_Students_NonUniversity_Housing,Cases_Employees,Cases_Students,sevendayaverage
1/1/2021,0,2,0,0.00%,3.94%,0,0,0,0,
1/2/2021,2,110,0,1.79%,6.53%,0,2,0,2,1
1/4/2021,9,166,0,3.24%,8.87%,0,9,0,9,3.7
1/5/2021,13,204,0,2.70%,9.24%,0,13,0,13,6
1/6/2021,23,214,0,3.30%,9.18%,0,23,0,23,9.4
1/7/2021,31,330,0,3.02%,8.96%,0,31,0,31,13
1/8/2021,38,198,0,3.11%,9.20%,2,36,0,38,19.3
1/9/2021,41,152,0,3.09%,8.73%,2,39,0,41,25.8
1/11/2021,49,474,0,2.54%,8.17%,3,46,0,49,32.5
1/12/2021,51,333,0,2.23%,7.59%,3,48,0,51,38.8
1/13/2021,58,442,0,1.92%,7.24%,3,53,2,56,44.7
1/14/2021,70,508,0,1.95%,6.74%,4,63,3,67,51.2
1/15/2021,69,105,0,1.99%,6.38%,4,62,3,66,56.3
1/16/2021,65,115,0,1.87%,6.28%,4,58,3,62,60.3
1/18/2021,66,2147,0,1.32%,5.73%,4,57,5,61,63.2
1/19/2021,73,2265,0,1.07%,5.68%,3,61,9,64,66.8
1/20/2021,86,1394,0,1.03%,5.66%,3,74,9,77,71.5
1/21/2021,101,2319,0,0.84%,5.69%,3,89,9,92,76.7
1/22/2021,107,2237,0,0.74%,5.63%,5,92,10,97,83
1/23/2021,105,85,0,0.75%,5.55%,5,90,10,95,89.7
1/25/2021,112,2387,0,0.81%,5.64%,5,99,8,104,97.3
1/26/2021,127,2328,0,0.87%,5.53%,6,113,8,119,106.3
1/27/2021,142,1517,0,0.86%,5.32%,7,127,8,134,115.7
1/28/2021,159,2190,0,0.88%,5.21%,10,140,9,150,125.3
1/29/2021,150,2082,0,0.86%,5.18%,11,131,8,142,132.5
1/30/2021,136,2,0,0.87%,5.15%,10,122,4,132,137.7
2/1/2021,105,10,0,0.78%,4.91%,10,91,4,101,136.5
2/2/2021,91,4,0,0.72%,5.05%,7,81,3,88,130.5
2/3/2021,134,2192,0,1.08%,5.27%,9,119,6,128,129.2
2/4/2021,151,1686,0,1.17%,5.30%,10,135,6,145,127.8
2/5/2021,138,2108,0,1.25%,5.28%,10,120,8,130,125.8
2/6/2021,117,2,0,1.25%,5.35%,9,100,8,109,122.7
2/8/2021,96,1883,0,1.09%,5.21%,5,83,8,88,121.2
2/9/2021,101,2081,0,1.01%,4.96%,6,88,7,94,122.8
2/10/2021,111,1559,0,0.73%,4.64%,8,94,9,102,119
2/11/2021,126,1879,0,0.69%,4.49%,9,105,12,114,114.8
2/12/2021,137,1876,0,0.67%,4.42%,9,116,12,125,114.7
2/15/2021,88,1828,0,0.67%,4.32%,6,72,10,78,112.6
2/16/2021,85,2013,0,0.64%,4.27%,5,73,7,78,109.4
2/17/2021,97,1575,0,0.67%,4.17%,6,84,7,90,106.6
2/18/2021,98,5,0,0.64%,3.93%,6,85,7,91,101
2/19/2021,87,1,0,0.66%,3.92%,6,75,6,81,91
2/22/2021,61,1827,0,0.72%,4.04%,1,59,1,60,85.6
2/23/2021,58,1510,0,0.71%,3.86%,1,56,1,57,80.2
2/24/2021,70,1570,0,0.71%,3.77%,1,68,1,69,74.8
2/25/2021,81,1805,0,0.67%,3.80%,3,76,2,79,71.4
2/26/2021,77,1716,0,0.62%,3.72%,4,72,1,76,69.4
2/28/2021,53,1,0,0.62%,3.51%,3,49,1,52,66.7
3/1/2021,59,1662,0,0.54%,3.59%,4,54,1,58,66.3
3/2/2021,66,1624,0,0.53%,3.55%,5,59,2,64,67.7
3/3/2021,78,1211,0,0.55%,3.64%,5,71,2,76,69
3/4/2021,101,1617,0,0.72%,3.77%,8,91,2,99,72.3
3/5/2021,95,1570,0,0.74%,3.84%,12,80,3,92,75.3
3/8/2021,96,1740,0,1.06%,3.98%,15,77,4,92,87.2
3/9/2021,115,1996,0,1.24%,4.29%,19,91,5,110,97
3/10/2021,132,1526,0,1.25%,4.62%,27,99,6,126,107.8
3/11/2021,147,1792,0,1.14%,5.00%,28,113,6,141,117
3/12/2021,152,1733,0,1.16%,5.18%,32,114,6,146,128.4
3/13/2021,145,2,0,1.16%,5.44%,31,109,5,140,131.2
3/15/2021,135,1754,0,1.08%,5.82%,40,90,5,130,137.7
3/16/2021,147,1820,0,1.03%,5.86%,42,101,4,143,143
3/17/2021,173,1358,0,1.16%,5.96%,48,121,4,169,149.8
3/18/2021,193,1501,0,1.26%,5.96%,52,137,4,189,157.5
3/19/2021,169,1623,0,1.23%,6.19%,50,117,2,167,160.3
3/21/2021,126,2,0,1.23%,6.47%,37,89,0,126,157.2
3/22/2021,136,1640,0,1.25%,6.64%,39,96,1,135,157.3
3/23/2021,137,1668,0,1.18%,6.65%,38,97,2,135,155.7
3/24/2021,147,800,0,1.05%,6.80%,38,106,3,144,151.3
3/25/2021,161,1691,0,0.94%,6.99%,39,119,3,158,146
3/26/2021,149,1521,0,1.02%,7.04%,31,115,3,146,142.7
3/29/2021,111,1747,0,1.05%,7.65%,22,84,5,106,141
3/30/2021,115,1669,0,1.04%,8.05%,20,89,6,109,136.6
3/31/2021,127,1211,0,1.01%,8.09%,21,100,6,121,132.6
4/1/2021,155,1710,0,1.18%,8.74%,22,127,6,149,131.4
4/2/2021,149,1295,0,1.30%,9.05%,20,124,5,144,131.4
4/3/2021,136,1,0,1.30%,9.18%,16,116,4,132,132.2
4/4/2021,126,1,0,1.30%,9.15%,16,107,3,123,131.3
4/5/2021,128,1220,0,1.22%,8.74%,16,108,4,124,133.7
4/6/2021,128,1646,0,1.24%,8.14%,14,110,4,124,135.6
4/7/2021,138,1135,0,1.23%,7.80%,16,118,4,134,137.1
4/8/2021,150,1446,0,1.04%,7.02%,17,127,6,144,136.4
4/9/2021,125,1357,0,0.79%,6.67%,11,110,4,121,133
4/12/2021,84,1287,0,0.71%,6.61%,8,73,3,81,125
4/13/2021,81,1505,0,0.77%,6.72%,10,68,3,78,115.6
4/14/2021,92,1043,0,0.80%,6.78%,11,78,3,89,106.4
4/15/2021,109,1290,0,0.89%,6.81%,12,94,3,106,98.2
4/16/2021,97,1220,0,0.93%,6.69%,11,84,2,95,92.6
4/19/2021,68,1175,0,0.87%,6.32%,7,61,0,68,89.4
4/20/2021,69,1185,0,0.71%,6.15%,6,63,0,69,87
4/21/2021,74,737,0,0.64%,6.20%,7,66,1,73,83.4
4/22/2021,81,977,0,0.49%,6.15%,9,70,2,79,77.8
4/23/2021,78,1127,0,0.58%,6.15%,12,64,2,76,74
4/26/2021,37,769,0,0.56%,5.97%,8,27,2,35,67.8
4/27/2021,38,597,0,0.67%,5.73%,8,27,3,35,61.6
4/28/2021,41,389,0,0.67%,5.50%,9,29,3,38,55
4/29/2021,46,476,0,0.71%,5.41%,10,33,3,43,48
4/30/2021,45,652,0,0.73%,5.18%,10,32,3,42,41.4
5/3/2021,30,438,0,0.74%,4.58%,7,22,1,29,4
5/4/2021,25,317,0,0.75%,4.46%,4,20,1,24,37.4
5/5/2021,26,254,0,0.70%,4.10%,4,21,1,25,34.4
5/6/2021,28,234,0,0.63%,3.74%,4,22,2,26,30.8
5/7/2021,25,234,0,0.47%,3.57%,3,20,2,23,26.8
5/10/2021,12,164,0,0.50%,3.05%,1,10,1,11,23.2
5/11/2021,7,127,0,0.30%,2.72%,0,6,1,6,19.6
5/12/2021,8,78,0,0.36%,2.59%,0,7,1,7,16
5/13/2021,8,159,0,0.13%,2.56%,0,7,1,7,12
5/14/2021,7,6,0,0.19%,2.50%,0,6,1,6,8.4
